source_index,value,target_qps,bud,sleep_us,concurrency,body_bytes,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,used_cores,qps_per_used_core,attainment_pct,target_sustained,is_pareto,client_rss_kb,server_rss_kb,retry,status,partial
94,385000 × 256x256 × 1000x1000x1000x1000,385000,256,1000,128,1024,0,379600.0,1310.0,1950.0,552.4,459.6,1012.0,10.12,37509.881422924904,98.59740259740259,False,False,174080,63488,1,OK,False
95,385000 × 256x256 × 10000x10000x10000x10000,385000,256,10000,128,1024,0,225800.0,10600.0,11280.0,264.9,220.9,485.79999999999995,4.858,46480.032935364354,58.64935064935065,False,False,108544,65536,1,OK,False
96,385000 × 1024x1024 × 1x1x1x1,385000,1024,1,128,1024,0,384300.0,330.0,920.0,636.7,534.5,1171.2,11.712,32812.5,99.81818181818181,True,False,167936,67584,1,OK,False
97,385000 × 1024x1024 × 10x10x10x10,385000,1024,10,128,1024,0,383900.0,340.0,1030.0,632.1,532.7,1164.8000000000002,11.648000000000001,32958.4478021978,99.71428571428571,True,False,169984,66560,1,OK,False
98,385000 × 1024x1024 × 100x100x100x100,385000,1024,100,128,1024,0,383900.0,360.0,1020.0,636.0,536.6,1172.6,11.725999999999999,32739.21200750469,99.71428571428571,True,False,165888,72704,1,OK,False
99,385000 × 1024x1024 × 1000x1000x1000x1000,385000,1024,1000,128,1024,0,384300.0,350.0,1190.0,622.7,532.1,1154.8000000000002,11.548000000000002,33278.48978178039,99.81818181818181,True,False,166912,74752,1,OK,False
100,385000 × 1024x1024 × 10000x10000x10000x10000,385000,1024,10000,128,1024,0,326100.0,11070.0,11540.0,429.3,347.2,776.5,7.765,41996.136509980686,84.7012987012987,False,False,123904,71680,1,OK,False
101,731500 × 0x0 × 1x1x1x1,731500,0,1,128,1024,0,705800.0,420.0,1150.0,755.6,694.5,1450.1,14.501,48672.505344459,96.48667122351333,False,False,242688,66560,1,OK,False
102,731500 × 0x0 × 10x10x10x10,731500,0,10,128,1024,0,706600.0,410.0,1100.0,755.6,726.4,1482.0,14.82,47678.81241565452,96.59603554340397,False,False,240640,68608,1,OK,False
103,731500 × 0x0 × 100x100x100x100,731500,0,100,128,1024,0,706100.0,420.0,1110.0,755.0,725.9,1480.9,14.809000000000001,47680.46458234857,96.52768284347232,False,False,250880,72704,1,OK,False
104,731500 × 0x0 × 1000x1000x1000x1000,731500,0,1000,128,1024,0,706800.0,410.0,1160.0,753.9,719.1,1473.0,14.73,47983.70672097759,96.62337662337663,False,False,238592,69632,1,OK,False
105,731500 × 0x0 × 10000x10000x10000x10000,731500,0,10000,128,1024,0,353800.0,10560.0,11290.0,360.5,331.6,692.1,6.921,51119.78037855801,48.36637047163363,False,False,138240,69632,1,OK,False
106,731500 × 1x1 × 1x1x1x1,731500,1,1,128,1024,0,686800.0,860.0,1480.0,730.0,599.5,1329.5,13.295,51658.518239939825,93.88926862611073,False,False,240640,73728,1,OK,False
107,731500 × 1x1 × 10x10x10x10,731500,1,10,128,1024,0,486000.0,1330.0,1620.0,523.0,425.6,948.6,9.486,51233.39658444023,66.43882433356117,False,False,181248,67584,1,OK,False
108,731500 × 1x1 × 100x100x100x100,731500,1,100,128,1024,0,103100.0,2290.0,2380.0,105.1,92.3,197.39999999999998,1.9739999999999998,52228.97669706181,14.094326725905674,False,False,95232,66560,1,OK,False
109,731500 × 1x1 × 1000x1000x1000x1000,731500,1,1000,128,1024,0,101000.0,2340.0,2410.0,103.7,89.2,192.9,1.929,52358.73509590461,13.807245386192754,False,False,95232,68608,1,OK,False
110,731500 × 1x1 × 10000x10000x10000x10000,731500,1,10000,128,1024,0,12400.0,10460.0,20480.0,14.5,12.4,26.9,0.26899999999999996,46096.654275092944,1.695146958304853,False,False,86016,60416,1,OK,False
111,731500 × 16x16 × 1x1x1x1,731500,16,1,128,1024,0,687200.0,790.0,1390.0,729.8,673.8,1403.6,14.036,48959.81761185523,93.94395078605605,False,False,235520,70656,1,OK,False
112,731500 × 16x16 × 10x10x10x10,731500,16,10,128,1024,0,508500.0,1300.0,1560.0,549.0,492.2,1041.2,10.412,48837.879369957736,69.51469583048531,False,False,195584,73728,1,OK,False
113,731500 × 16x16 × 100x100x100x100,731500,16,100,128,1024,0,151800.0,1380.0,2080.0,158.2,138.9,297.1,2.971,51093.907775159874,20.75187969924812,False,False,108544,66560,1,OK,False
114,731500 × 16x16 × 1000x1000x1000x1000,731500,16,1000,128,1024,0,120300.0,2120.0,2420.0,124.9,108.9,233.8,2.338,51454.23438836612,16.44565960355434,False,False,105472,66560,1,OK,False
115,731500 × 16x16 × 10000x10000x10000x10000,731500,16,10000,128,1024,0,12700.0,10460.0,20690.0,14.8,13.0,27.8,0.278,45683.45323741007,1.7361585782638413,False,False,89088,64512,1,OK,False
116,731500 × 256x256 × 1x1x1x1,731500,256,1,128,1024,0,705400.0,420.0,1170.0,754.6,692.6,1447.2,14.472000000000001,48742.39911553344,96.43198906356801,False,False,242688,72704,1,OK,False
117,731500 × 256x256 × 10x10x10x10,731500,256,10,128,1024,0,707000.0,420.0,1120.0,753.2,724.4,1477.6,14.776,47847.86139685977,96.65071770334929,False,False,233472,74752,1,OK,False
118,731500 × 256x256 × 100x100x100x100,731500,256,100,128,1024,0,707500.0,410.0,1100.0,755.0,723.6,1478.6,14.786,47849.316921412144,96.71907040328092,False,False,245760,70656,1,OK,False
119,731500 × 256x256 × 1000x1000x1000x1000,731500,256,1000,128,1024,0,704700.0,430.0,1410.0,751.7,723.7,1475.4,14.754000000000001,47763.31842212281,96.3362952836637,False,False,242688,72704,1,OK,False
120,731500 × 256x256 × 10000x10000x10000x10000,731500,256,10000,128,1024,0,296800.0,10580.0,11320.0,313.1,280.6,593.7,5.937,49991.57823816742,40.57416267942584,False,False,136192,73728,1,OK,False
121,731500 × 1024x1024 × 1x1x1x1,731500,1024,1,128,1024,0,705200.0,420.0,1130.0,755.6,694.5,1450.1,14.501,48631.12888766292,96.40464798359535,False,False,247808,70656,1,OK,False
122,731500 × 1024x1024 × 10x10x10x10,731500,1024,10,128,1024,0,705400.0,420.0,1130.0,755.0,724.1,1479.1,14.790999999999999,47691.163545399235,96.43198906356801,False,False,249856,66560,1,OK,False
123,731500 × 1024x1024 × 100x100x100x100,731500,1024,100,128,1024,0,705900.0,420.0,1150.0,754.3,722.3,1476.6,14.765999999999998,47805.77001219017,96.50034176349966,False,False,239616,72704,1,OK,False
124,731500 × 1024x1024 × 1000x1000x1000x1000,731500,1024,1000,128,1024,0,705500.0,420.0,1130.0,755.4,724.8,1480.1999999999998,14.801999999999998,47662.47804350764,96.44565960355435,False,False,239616,66560,1,OK,False
125,731500 × 1024x1024 × 10000x10000x10000x10000,731500,1024,10000,128,1024,0,704900.0,,,,,,,,96.36363636363636,False,False,,,,,True
