source_index,value,target_qps,idle_enabled,sleep_us,bud,reported_sustain_pct,achieved_qps,p50_us,p99_us,p999_us,max_us,send_lag_p99_us,scheduled,dispatched,completed,shed,client_cpu_user_pct,client_cpu_sys_pct,client_cpu_pct,server_cpu_user_pct,server_cpu_sys_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,total_cpu_pct,used_cores,quota_occupancy_pct,qps_per_used_core,target_sustained
70,152000 × Truex1xTruex1 × 1x1,152000,True,1,1,94.4,143700,650.4,18400,18587,20800,371.3,2283728,2154894,2154894,128834,278.2,93.2,371.4,100.9,112.2,213.1,284348,19084,1,✅,584.5,5.845,48.7083333333,24585.1154833,False
71,152000 × Truex1xTruex1 × 16x16,152000,True,1,16,99.9,152100,361.1,5010,17662,18200,340.6,2283733,2282039,2282039,1694,335.9,53.1,389,212.8,98.2,311,264192,19084,1,✅,700,7,58.3333333333,21728.5714286,True
72,152000 × Truex1xTruex1 × 256x256,152000,True,1,256,99.8,151900,888.6,7321,9634,15400,3411,2283723,2278418,2278418,5305,351.6,46.4,398,281.8,82.2,363.9,293420,19088,1,✅,761.9,7.619,63.4916666667,19936.9996062,True
73,152000 × Truex10xTruex10 × 0x0,152000,True,10,0,99.6,151700,423,14511,19942,20500,391.9,2283729,2274960,2274960,8769,305.9,42.8,348.6,57.8,37,94.8,294540,19088,1,✅,443.4,4.434,36.95,34212.9003157,True
74,152000 × Truex10xTruex10 × 1x1,152000,True,10,1,98.9,150600,459.2,14570,14827,16200,390.2,2283731,2259295,2259295,24436,305.8,40.7,346.5,59.8,35.9,95.7,280696,19088,1,✅,442.2,4.422,36.85,34056.9877883,False
75,152000 × Truex10xTruex10 × 16x16,152000,True,10,16,99.5,151400,393.2,15551,15747,16400,336.8,2283731,2271488,2271488,12243,339.4,45.4,384.7,138.3,44.2,182.5,292824,19088,1,✅,567.2,5.672,47.2666666667,26692.5246827,True
76,152000 × Truex10xTruex10 × 256x256,152000,True,10,256,99.9,152000,917.7,6293,13601,19000,3204,2283571,2280577,2280577,2994,355.3,42.8,398.1,263,76.1,339,291472,19088,1,✅,737.1,7.371,61.425,20621.3539547,True
77,152000 × Truex100xTruex100 × 0x0,152000,True,100,0,100,152200,502,1848,2490,3100,278.2,2283728,2283728,2283728,0,303.6,25.2,328.8,55,4.9,59.9,261464,19088,1,✅,388.7,3.887,32.3916666667,39156.1615642,True
78,152000 × Truex100xTruex100 × 1x1,152000,True,100,1,100,152200,491.4,1849,2505,3200,286.1,2283731,2283731,2283731,0,302.1,27.7,329.8,55.1,4.8,59.9,297620,19088,1,✅,389.7,3.897,32.475,39055.6838594,True
79,152000 × Truex100xTruex100 × 16x16,152000,True,100,16,99.8,151900,455.3,1633,2282,161300,321.4,2283730,2278270,2278270,5460,317.9,32.9,350.8,65.6,10.1,75.8,259856,19088,1,✅,426.6,4.266,35.55,35607.1261135,True
80,152000 × Truex100xTruex100 × 256x256,152000,True,100,256,99.9,152100,894,13053,13783,14700,1601,2283700,2281218,2281218,2482,352.2,45.9,398.1,169.1,42.2,211.3,259672,19084,1,✅,609.4,6.094,50.7833333333,24958.976042,True
